Question Number|Question|Choices|Correct Answer|Translation
1|"Σε ποιο σημείο της Μεσογείου βρίσκεται γεωγραφικά η Κύπρος;"|"Α) Νοτιοανατολικά, Β) Βορειοανατολικά, Γ) Βορειοδυτικά, Δ) Νοτιοδυτικά"|1|"В каком месте Средиземного моря географически находится Кипр? Α) Юго-восток, Β) Северо-восток, Γ) Северо-запад, Δ) Юго-запад"
2|"Ποια είναι η πιο κοντινή χώρα στην Κύπρο σε απόσταση;"|"Α) Τουρκία, Β) Συρία, Γ) Ισραήλ, Δ) Λίβανος"|0|"Какая страна ближе всего к Кипру? Α) Турция, Β) Сирия, Γ) Израиль, Δ) Ливан"
3|"Σε ποια επαρχία βρίσκεται η Πόλη Χρυσοχούς;"|"Α) Πάφου, Β) Κερύνειας, Γ) Λεμεσού, Δ) Αμμοχώστου"|1|"В каком районе находится Полис Хрисохус? Α) Пафос, Β) Кериния, Γ) Лимасол, Δ) Фамагуста"
4|"Ποιες είναι οι επίσημες γλώσσες της Κυπριακής Δημοκρατίας;"|"Α) Ελληνικά και τουρκικά, Β) Ελληνικά, αγγλικά και τουρκικά, Γ) Ελληνικά και αγγλικά, Δ) Ελληνικά"|0|"Какие официальные языки в Республике Кипр? Α) Греческий и турецкий, Β) Греческий, английский и турецкий, Γ) Греческий и английский, Δ) Греческий"
5|"Πώς λέγεται ο Υπουργός Εξωτερικών της Κυπριακής Δημοκρατίας;"|"Α) Βασίλης Πάλμας, Β) Αννίτα Δημητρίου, Γ) Κωνσταντίνος Κόμπος, Δ) Κωνσταντίνος Ιωάννου"|2|"Как зовут министра иностранных дел Республики Кипр? Α) Василис Пальмас, Β) Аннита Димитриу, Γ) Константинос Комбос, Δ) Константинос Иоанну"
6|"Ποιο από τα πιο κάτω δεν είναι παραδοσιακό της Κύπρου;"|"Α) Χαλλούμι, Β) Σιουσιούκκος, Γ) Ζιβανία, Δ) Φέτα"|3|"Что из перечисленного не является традиционным для Кипра? Α) Халлуми, Β) Сьюсьюкос, Γ) Зивания, Δ) Фета"
7|"Ποια επαρχία είναι ολόκληρη κατεχόμενη;"|"Α) Πάφου, Β) Κερύνειας, Γ) Αμμοχώστου, Δ) Λευκωσίας"|1|"Какой район полностью оккупирован? Α) Пафос, Β) Кериния, Γ) Фамагуста, Δ) Никосия"
8|"Ποιος είναι ο τηλεφωνικός κωδικός της Κύπρου;"|"Α) 369, Β) 357, Γ) 902, Δ) 225"|1|"Какой телефонный код Кипра? Α) 369, Β) 357, Γ) 902, Δ) 225"
9|"Πόσο στοιχίζει μια επίσκεψη στον προσωπικό γιατρό του ΓΕΣΥ;"|"Α) 3€, Β) 6€, Γ) 10€, Δ) 0€"|3|"Сколько стоит визит к личному врачу ГЕСИ? Α) 3€, Β) 6€, Γ) 10€, Δ) 0€"
10|"Σε ποιον τηλεφωνικό αριθμό θα καλέσετε την αστυνομία;"|"Α) 112, Β) 110, Γ) 100, Δ) 911"|0|"По какому телефонному номеру вы позвоните в полицию? Α) 112, Β) 110, Γ) 100, Δ) 911"
11|"Με ποιο μέσο μαζικής μεταφοράς δεν μπορείτε να μεταβείτε από τη Λεμεσό στη Λάρνακα;"|"Α) Αυτοκίνητο, Β) Λεωφορείο, Γ) Τρένο, Δ) Ταξί"|2|"На каком виде общественного транспорта вы не сможете добраться из Лимасола в Ларнаку? Α) Автомобиль, Β) Автобус, Γ) Поезд, Δ) Такси"
12|"Πότε έγινε η Κύπρος πλήρες μέλος της Ευρωπαϊκής Ένωσης;"|"Α) 1 Μαΐου 2004, Β) 1 Αυγούστου 2000, Γ) 1 Απριλίου 2000, Δ) 1 Οκτωβρίου 2000"|1|"Когда Кипр стал полноправным членом Европейского Союза? Α) 1 мая 2004, Β) 1 августа 2000, Γ) 1 апреля 2000, Δ) 1 октября 2000"
13|"Ποιος διορίζει τους υπουργούς της κυβέρνησης;"|"Α) Πρόεδρος, Β) Λαός, Γ) Πρωθυπουργός, Δ) Βουλή"|0|"Кто назначает министров правительства? Α) Президент, Β) Народ, Γ) Премьер-министр, Δ) Парламент"
14|"Πόσοι είναι οι Κύπριοι βουλευτές στο Ευρωκοινοβούλιο;"|"Α) 6, Β) 8, Γ) 4, Δ) 10"|0|"Сколько кипрских депутатов в Европарламенте? Α) 6, Β) 8, Γ) 4, Δ) 10"
15|"Πότε γιορτάζει η Κύπρος την ανεξαρτησία της;"|"Α) 1 Μαΐου, Β) 1 Οκτωβρίου, Γ) 28 Οκτωβρίου, Δ) 15 Αυγούστου"|1|"Когда Кипр празднует свою независимость? Α) 1 мая, Β) 1 октября, Γ) 28 октября, Δ) 15 августа"
16|"Σε ποιο οργανισμό η Κύπρος δεν είναι μέλος;"|"Α) Βρετανική Κοινοπολιτεία, Β) Ευρωζώνη, Γ) Ο Οργανισμός Ηνωμένων Εθνών, Δ) ΝΑΤΟ"|3|"В какой организации Кипр не является членом? Α) Британское Содружество, Β) Еврозона, Γ) Организация Объединенных Наций, Δ) НАТО"
17|"Σε ποια επαρχία ανήκει η Αγία Νάπα;"|"Α) Πάφου, Β) Αμμοχώστου, Γ) Λεμεσού, Δ) Κερύνειας"|1|"К какому району относится Айя-Напа? Α) Пафос, Β) Фамагуста, Γ) Лимасол, Δ) Кериния"
18|"Σε ποια πόλη διεξάγεται η γιορτή του κρασιού;"|"Α) Λεμεσός, Β) Πάφος, Γ) Λευκωσία, Δ) Λάρνακα"|0|"В каком городе проходит праздник вина? Α) Лимасол, Β) Пафос, Γ) Никосия, Δ) Ларнака"
19|"Πόσο είναι το ποσοστό του ΦΠΑ στο γάλα, στο ψωμί και στα αυγά;"|"Α) 12%, Β) 0%, Γ) 5%, Δ) 18%"|1|"Какой процент НДС на молоко, хлеб и яйца? Α) 12%, Β) 0%, Γ) 5%, Δ) 18%"
20|"Ποιο είναι το μέγιστο όριο ταχύτητας στους αυτοκινητοδρόμους;"|"Α) 120km/h, Β) 80km/h, Γ) 100km/h, Δ) Δεν υπάρχει όριο"|2|"Какое максимальное ограничение скорости на автомагистралях? Α) 120 км/ч, Β) 80 км/ч, Γ) 100 км/ч, Δ) Ограничения нет"
