Question Number|Question|Choices|Correct Answer|Translation
1|Πότε θα ξεκινήσει η Προεδρία της Κύπρου στην ΕΕ;|Α) 01.01.2025, Β) 01.07.2025, Γ) 01.01.2026, Δ) 01.07.2026|2|Когда начнется председательство Кипра в ЕС?
2|Ποιο είναι το κύριο θέμα της Προεδρίας της Κύπρου στην ΕΕ;|Α) Μετανάστευση, Β) Μεσόγειος, Γ) Κυβερνοασφάλεια, Δ) Πράσινη ενέργεια|1|Какая главная тема председательства Кипра в ЕС? Α) Μиграция, Β) Средиземноморье, Γ) Кибербезопасность, Δ) Зеленая энергетика
3|Το υποθαλάσσιο καλώδιο Great Sea Interconnector ποιες χώρες ενώνει;|Α) Ελλάδα, Κύπρος, Λίβανος, Β) Ελλάδα, Κύπρος, Ισραήλ, Γ) Ιταλία, Κύπρος, Ισραήλ, Δ) Τουρκία, Κύπρος, Ελλάδα|1|Подводный кабель Great Sea Interconnector - какие страны соединяет? Α) Греция, Кипр, Ливан, Β) Греция, Кипр, Израиль, Γ) Италия, Кипр, Израиль, Δ) Турция, Кипр, Греция
4|Υπό την αιγίδα ποιας οργάνωσης επιλύεται το Κυπριακό πρόβλημα;|Α) ΕΕ, Β) ΟΗΕ, Γ) ΝΑΤΟ, Δ) Αφρική|1|Под эгидой какой организации решается кипрская проблема? Α) ЕС, Β) ООН, Γ) НАТО, Δ) Африка
5|Πόσοι Ελληνοκύπριοι εγκατέλειψαν το βόρειο τμήμα της Κύπρου;|Α) 50 000, Β) 100 000, Γ) 150 000, Δ) 200 000|2|Сколько греко-киприотов покинули северный Кипр? Α) 50 000, Β) 100 000, Γ) 150 000, Δ) 200 000
6|Πού βρίσκεται το χωριό Αμίαντος;|Α) Λεμεσός, Β) Τρόοδος, Γ) Λάρνακα, Δ) Λευκωσία|1|Где находится деревня Амиантос? Α) Лимассол, Β) Троодос, Γ) Ларнака, Δ) Никосия
7|Πού κάνει περισσότερο κρύο τον χειμώνα;|Α) Πρόδρομος, Β) Λευκωσία, Γ) Λάρνακα, Δ) Λεμεσός|0|Где зимой холоднее всего? Α) Продромос, Β) Никосия, Γ) Ларнака, Δ) Лимасол
8|Πόσο κοστίζει η επίσκεψη σε γιατρό-ειδικό στο ΓεΣΥ;|Α) 3 ευρώ, Β) 6 ευρώ, Γ) 10 ευρώ, Δ) 15 ευρώ|1|Сколько стоит посещение врача-специалиста по Геси? Α) 3 евро, Β) 6 евро, Γ) 10 евро, Δ) 15 евро
9|Από τι αποτελείται το κυπριακό μεζέ;|Α) Ψάρια, Β) Κρέας, Γ) Διάφορα παραδοσιακά φαγητά, Δ) Γλυκό|2|Из чего состоит кипрское мезе? Α) Рыба, Β) Мясо, Γ) Разные традиционные блюда, Δ) Сладости
10|Πόσο διαρκεί η στρατιωτική θητεία;|Α) 12 μήνες, Β) 14 μήνες, Γ) 16 μήνες, Δ) 18 μήνες|1|Сколько длится служба в армии? Α) 12 месяцев, Β) 14 месяцев, Γ) 16 месяцев, Δ) 18 месяцев
11|Σημειώστε στον χάρτη πού βρίσκεται η βρετανική βάση Δεκέλειας;|Α) A, Β) B, Γ) C, Δ) D|0|Отметить на карте, где находится британская база Декелия? Α) A, Β) B, Γ) C, Δ) D
12|Ποιο είναι το μεγαλύτερο φράγμα;|Α) Ασπρόκρεμμος, Β) Ευρέτου, Γ) Κούρης, Δ) Ξυλοφάγου|2|Какая самая большая дамба? Α) Аспрокремму, Β) Еврету, Γ) Курис, Δ) Ксилофагу
13|Σχετικά με τον Πρόεδρο - ποια δήλωση είναι λανθασμένη;|Α) Εκλέγεται για 6 χρόνια, Β) Εκλέγεται από τον λαό, Γ) Άμεσες εκλογές, Δ) Προεδρική Δημοκρατία|0|Про президента - какое утверждение неправильно? Α) Избирается на 6 лет, Β) Избирается народом, Γ) Прямые выборы, Δ) Президентская республика
14|Ποιος τομέας της οικονομίας συνεισφέρει περισσότερο στο ΑΕΠ της Κύπρου;|Α) Γεωργία, Β) Βιομηχανία, Γ) Υπηρεσίες και τουρισμός, Δ) Μεταφορές|2|Какой сектор экономики приносит большую долю в ВВП Кипра? Α) Сельское хозяйство, Β) Промышленность, Γ) Сервисы и туризм, Δ) Транспорт
15|Ποιο ποσοστό της χώρας είναι υπό κατοχή;|Α) 33%, Β) 36%, Γ) 37%, Δ) 40%|2|Сколько процентов страны под оккупацией? Α) 33%, Β) 36%, Γ) 37%, Δ) 40%
16|Ποια τηλεπικοινωνιακή εταιρεία δεν είναι ιδιωτική;|Α) MTN, Β) Epic, Γ) PrimeTel, Δ) CYTA|3|Какая телеком компания не частная? Α) MTN, Β) Epic, Γ) PrimeTel, Δ) CYTA
17|Αν στο Λονδίνο είναι 12:00, τι ώρα είναι στην Κύπρο;|Α) 13:00, Β) 14:00, Γ) 15:00, Δ) 16:00|1|Время в Лондоне 12:00, а сколько тогда на Кипре? Α) 13:00, Β) 14:00, Γ) 15:00, Δ) 16:00
18|Ποιο νόμισμα δεν υπάρχει;|Α) 1 ευρώ, Β) 2 ευρώ, Γ) 5 ευρώ, Δ) 10 ευρώ|2|Какой монеты нет? Α) 1 евро, Β) 2 евро, Γ) 5 евро, Δ) 10 евро
19|Από ποιο ποσό πρέπει να δηλώνονται μετρητά κατά την εισαγωγή;|Α) 5 000 ευρώ, Β) 7 500 ευρώ, Γ) 10 000 ευρώ, Δ) 12 000 ευρώ|2|С какой суммы нужно декларировать наличные? Α) 5 000 евро, Β) 7 500 евро, Γ) 10 000 евро, Δ) 12 000 евро
20|Ποια ημέρα δεν είναι αργία;|Α) 1 Μαΐου, Β) 25 Δεκεμβρίου, Γ) 14 Φεβρουαρίου, Δ) 1 Οκτωβρίου|2|Какой день не праздничный выходной? Α) 1 мая, Β) 25 декабря, Γ) 14 февраля, Δ) 1 октября
21|Ποιο ποτό δεν είναι παραδοσιακό;|Α) Ζιβανία, Β) Κουμανδαρία, Γ) Ρούμι, Δ) Κρασί|2|Какой напиток не традиционный? Α) Зивания, Β) Командария, Γ) Ром, Δ) Вино
22|Ποια ξένη γλώσσα είναι πιο διαδεδομένη στην Κύπρο;|Α) Γαλλικά, Β) Αγγλικά, Γ) Γερμανικά, Δ) Ρωσικά|1|Какой иностранный язык самый распространенный на Кипре? Α) Французский, Β) Английский, Γ) Немецкий, Δ) Русский
23|Ποιος είναι ο Υπουργός Εσωτερικών;|Α) Μάριος Δημητρίου, Β) Κωνσταντίνος Ιωάννου, Γ) Ανδρέας Σιμεού, Δ) Νίκος Γεωργίου|1|Как зовут министра внутренних дел? Α) Мариос Димитриу, Β) Константинос Иоанну, Γ) Андреас Симеу, Δ) Никос Георгиу
24|Ποιο είναι το πιο διαδεδομένο μέσο μεταφοράς στην Κύπρο;|Α) Αυτοκίνητο, Β) Ποδήλατο, Γ) Περπάτημα, Δ) Λεωφορείο|0|Какое самое распространенное средство передвижения на Кипре? Α) Автомобиль, Β) Велосипед, Γ) Пешком, Δ) Автобус
25|Σε ποια γιορτή φτιάχνουμε κυρίως λουκουμάδες;|Α) Χριστούγεννα, Β) Θεοφάνεια (Φώτα), Γ) Πάσχα, Δ) Κοίμηση της Θεοτόκου|1|На какой праздник готовят, главным образом, лукумадес? Α) Рождество, Β) Крещение, Γ) Пасха, Δ) Успение Богородицы
