Question Number|Question|Choices|Correct Answer|Translation
1|"Ποιος είναι ο Αρχιεπίσκοπος της Κύπρου;"|"Α) Χρυσόστομος Β', Β) Μάκαριος Γ', Γ) Γεώργιος, Δ) Αναστάσιος"|2|"Кто является архиепископом Кипра? Α) Хрисостом II, Β) Макариос III, Γ) Георгий, Δ) Анастасий"
2|"Πότε απέκτησε η Κύπρος την ανεξαρτησία της;"|"Α) 1960, Β) 1974, Γ) 1981, Δ) 1998"|0|"Когда Кипр получил независимость? Α) 1960, Β) 1974, Γ) 1981, Δ) 1998"
3|"Ποιο είναι το συνήθες διάστημα μεταξύ των εκλογών για την εκλογή του προέδρου της Κύπρου;"|"Α) 4 χρόνια, Β) 5 χρόνια, Γ) 6 χρόνια, Δ) 7 χρόνια"|1|"Каков обычный интервал между выборами президента Кипра? Α) 4 года, Β) 5 лет, Γ) 6 лет, Δ) 7 лет"
4|"Πότε διεξήχθησαν οι πρώτες εκλογές για την εκλογή του προέδρου της Κύπρου;"|"Α) 1959, Β) 1974, Γ) 1981, Δ) 1998"|0|"Когда состоялись первые выборы президента Кипра? Α) 1959, Β) 1974, Γ) 1981, Δ) 1998"
5|"Ποιος εκλέγεται απευθείας από τον λαό στις εκλογές;"|"Α) Ο πρόεδρος, Β) Η Βουλή, Γ) Το υπουργικό συμβούλιο, Δ) Οι δικαστές"|0|"Кого выбирает народ на выборах? Α) Президента, Β) Парламент, Γ) Кабинет министров, Δ) Судей"
6|"Ποιος από τους παρακάτω οργανώνει τις εκλογές του προέδρου της Κύπρου;"|"Α) Κυβέρνηση της Κύπρου, Β) Κυπριακός Εκλογικός Σύνδεσμος, Γ) Κεντρική Υπηρεσία Εκλογών, Δ) Ευρωπαϊκή Ένωση"|2|"Кто из перечисленных организует выборы президента Кипра? Α) Правительство Кипра, Β) Кипрская избирательная комиссия, Γ) Центральное избирательное управление, Δ) Европейский Союз"
7|"Ποιος από τους παρακάτω έχει την εξουσία να διορίζει το υπουργικό συμβούλιο μετά τις εκλογές του προέδρου της Κύπρου;"|"Α) Ο πρόεδρος, Β) Το κοινοβούλιο, Γ) Το υπουργικό συμβούλιο, Δ) ο Δήμαρχος"|0|"Кто из перечисленных имеет власть назначать кабинет министров после выборов президента Кипра? Α) Президент, Β) Парламент, Γ) Кабинет министров, Δ) Мэр"
8|"Ποιοι πολίτες μπορούν να ψηφίσουν στις εκλογές του προέδρου της Κύπρου;"|"Α) Μόνο Κύπριοι πολίτες, Β) Μόνο πολίτες της Ευρωπαϊκής Ένωσης που διαμένουν στην Κύπρο, Γ) Κύπριοι πολίτες και πολίτες τρίτων χωρών που διαμένουν στην Κύπρο, Δ) Όλοι οι πολίτες που έχουν νόμιμη διαμονή στην Κύπρο"|0|"Кто может голосовать на выборах президента Кипра? Α) Только граждане Кипра, Β) Только граждане ЕС, проживающие на Кипре, Γ) Граждане Кипра и третьих стран, проживающие на Кипре, Δ) Все граждане с законным местом жительства на Кипре"
9|"Ποια είναι η ελάχιστη ηλικία για να ψηφίσει κάποιος στις εκλογές του προέδρου της Κύπρου;"|"Α) 16 ετών, Β) 18 ετών, Γ) 21 ετών, Δ) 25 ετών"|1|"Каков минимальный возраст для голосования на выборах президента Кипра? Α) 16 лет, Β) 18 лет, Γ) 21 год, Δ) 25 лет"
10|"Ποιοι πολίτες δεν μπορούν να ψηφίσουν στις εκλογές του προέδρου της Κύπρου;"|"Α) Οι πολίτες κάτω των 18 ετών, Β) Οι πολίτες με διπλή ιθαγένεια, Γ) Οι πολίτες που διαμένουν στην Κύπρο για λιγότερο από ένα έτος, Δ) Όλοι οι πολίτες μπορούν να ψηφίσουν"|0|"Кто не может голосовать на выборах президента Кипра? Α) Граждане младше 18 лет, Β) Граждане с двойным гражданством, Γ) Граждане, проживающие на Кипре менее одного года, Δ) Все граждане могут голосовать"
