Question Number|Question|Choices|Correct Answer|Translation
1|"Ο Επιτάφιος, που συμβολίζει τον τάφο του Χριστού, περιφέρεται στις συνοικίες πόλεων και χωριών κατά τη Μεγάλη Παρασκευή."|"Α) του Πάσχα, Β) των Χριστουγέννων, Γ) της Πρωτομαγιάς, Δ) του Δεκαπενταύγουστου"|0|"Эпитафий, символизирующий гроб Христа, носится по кварталам городов и деревень в Великую пятницу. Α) Пасхи, Β) Рождества, Γ) Первомая, Δ) Успения"
2|"Την παραμονή της Πρωτοχρονιάς συνηθίζουμε να κόβουμε."|"Α) τη Βασιλόπιττα, Β) τη Φανουρόπιττα, Γ) το Χριστόψωμο, Δ) Τσουρέκια"|0|"На канун Нового года мы обычно режем: Α) Василопиту, Β) Фануропиту, Γ) Христопсомо, Δ) Цурекья"
3|"Αρχαιοελληνικό έθιμο, το οποίο διατηρήθηκε ως τις ημέρες μας είναι να βγαίνουν κυρίως μικρά παιδιά στους δρόμους και να λένε με μουσικά όργανα τα κάλαντα κατά την περίοδο."|"Α) του Δωδεκαημέρου των Χριστουγέννων (Χριστούγεννα, Πρωτοχρονιά, Φώτα), Β) του Πάσχα, Γ) του Δεκαπενταύγουστου, Δ) των Αποκριών"|0|"Древнегреческий обычай, который сохранился до наших дней - это выходить на улицы, в основном маленьким детям, и петь колядки с музыкальными инструментами в период: Α) Двенадцатидневки Рождества (Рождество, Новый год, Крещение), Β) Пасхи, Γ) Успения, Δ) Карнавала"
4|"Ένα από τα πιο χαρακτηριστικά έθιμα είναι να εκδράμουν οι οικογένειες στην εξοχή και τα παιδιά να πετούν χαρταετούς κατά."|"Α) τη Μεγάλη Παρασκευή, Β) την Καθαρά Δευτέρα, Γ) την Πρωτοχρονιά, Δ) τη Δευτέρα του Πάσχα"|1|"Один из самых характерных обычаев - выезд семей на природу и запуск детьми воздушных змеев в: Α) Великую пятницу, Β) Чистый понедельник, Γ) Новый год, Δ) Пасхальный понедельник"
5|"Αποκορύφωση της Μεγάλης Εβδομάδος του Πάσχα είναι να συγκεντρώνονται οι πιστοί στους ναούς, να λαμβάνουν σε λαμπάδες το άγιο Φως και να ακολουθούν πυροτεχνήματα κατά τη νύκτα."|"Α) της Μεγάλης Παρασκευής, Β) του Μεγάλου Σαββάτου, Γ) της Κυριακής του Πάσχα, Δ) των Θεοφανείων"|1|"Кульминация Страстной недели Пасхи - это собрание верующих в храмах, получение святого огня на свечи и фейерверки ночью: Α) Великой пятницы, Β) Великой субботы, Γ) Пасхального воскресенья, Δ) Богоявления"
6|"Τι είναι η μαγειρίτσα;"|"Α) Μαγειρευτό φαγητό που τρώγεται την πρώτη μέρα του νέου έτους, Β) Το εθνικό φαγητό των Ελλήνων, Γ) Παραδοσιακή σούπα με κρέας, που τρώγεται το βράδυ του Μεγάλου Σαββάτου, Δ) Παραδοσιακή, ηπειρώτικη πίττα με κρέας"|2|"Что такое магиритса? Α) Приготовленное блюдо, которое едят в первый день нового года, Β) Национальное блюдо греков, Γ) Традиционный суп с мясом, который едят в ночь Великой субботы, Δ) Традиционный эпирский пирог с мясом"
7|"ποια από τα παρακάτω έθιμα σχετίζονται με το Πάσχα"|"Α) Βάψιμο κόκκινων αβγών, Β) Ρίξιμο σταυρού στη θάλασσα, Γ) Σπάσιμο ροδιού"|0|"Какие из следующих обычаев относятся к Пасхе: Α) Крашение красных яиц, Β) Бросание креста в море, Γ) Разбивание граната"
7|"ποια από τα παρακάτω έθιμα σχετίζονται με το Πάσχα"|"Α) Σπάσιμο ροδιού, Β) Ρίξιμο σταυρού στη θάλασσα, Γ) Περιφορά επιταφίου"|2|"Какие из следующих обычаев относятся к Пасхе: Α) Разбивание граната, Β) Бросание креста в море, Γ) Ношение эпитафии"
7|"ποια από τα παρακάτω έθιμα σχετίζονται με το Φώτα."|"Α) Βάψιμο κόκκινων αβγών, Β) Ρίξιμο σταυρού στη θάλασσα, Γ) Περιφορά επιταφίου, Δ) Σπάσιμο ροδιού"|1|"Какие из следующих обычаев относятся к Крещению: Α) Крашение красных яиц, Β) Бросание креста в море, Γ) Ношение эпитафии, Δ) Разбивание граната"
7|"ποια από τα παρακάτω έθιμα σχετίζονται με το Πρωτοχρονιά."|"Α) Βάψιμο κόκκινων αβγών, Β) Ρίξιμο σταυρού στη θάλασσα, Γ) Περιφορά επιταφίου, Δ) Σπάσιμο ροδιού"|3|"Какие из следующих обычаев относятся к Новому году: Α) Крашение красных яиц, Β) Бросание креста в море, Γ) Ношение эпитафии, Δ) Разбивание граната"
